TaxID	Organism
10242	Orthopoxvirus
10294	Simplexvirus
10319	Varicellovirus
10358	Cytomegalovirus
10375	Lymphocryptovirus
10379	Rhadinovirus
10509	Mastadenovirus
11229	Morbillivirus
12059	Enterovirus
138954	Parechovirus
1507401	Bocaparvovirus
162387	Metapneumovirus
1868215	Orthopneumovirus
1891714	Betapolyomavirus
197911	Alphainfluenzavirus
197912	Betainfluenzavirus
40272	Roseolovirus
693996	Alphacoronavirus
694002	Betacoronavirus
